Date,News Source,Title,Description,URL of Article,Duplicate
11/2/2020,"Business Standard","Bank Nifty Posts Biggest Gain In 5 Months, Offsets Reliance Losses","Catch-up rally in banking stocks on better-than-expected Q2; analysts expect the momentum to sustain","/article/markets/bank-nifty-posts-biggest-gain-in-5-months-offsets-reliance-losses-120110201812_1.html",0
11/2/2020,"Business Standard","Markets: Indices End Choppy Trade Higher; Sensex Up 144 Pts; Ril Sinks 9%","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-ril-hdfc-ntpc-120110200133_1.html",0
11/2/2020,"Business Standard","Is Ril'S Dream Run At The Bourses Over? Check What Technical Charts Suggest","Shares of Reliance Industries (RIL) slipped over 5 per cent on Monday morning to Rs 1,948 levels, reacting to the September 2020 quarter numbers relea...","/article/markets/is-ril-s-dream-run-at-the-bourses-over-check-what-technical-charts-suggest-120110200329_1.html",0
11/2/2020,"Business Standard","Reliance Industries Slips 5.5% Post Q2 Results, Hits Over Three-Month Low","Key downside risks to the RIL stock include deterioration in refining margins, continued weakness in petrochemical margins, and sharper rupee apprecia...","/article/markets/reliance-industries-slips-5-5-post-q2-results-hits-over-three-month-low-120110200241_1.html",0
11/2/2020,"Business Standard","Stocks To Watch: Ril, Icici Bank, Maruti, M&M, Hero Moto, Indusind Bk, Hdfc","Here's a list of stocks that may trade actively in today's session","/article/markets/stocks-to-watch-ril-icici-bank-maruti-m-m-hero-moto-indusind-bk-hdfc-120110200143_1.html",0
11/2/2020,"Business Standard","Stock Suggestions By Vaishali Parekh: Buy Reliance Industries, Tata Motors","The stock of Reliance Industries (RIL) has recently corrected well and now has shown signs of bottoming out near 2,000 levels","/article/markets/stock-suggestions-by-vaishali-parekh-buy-reliance-industries-tata-motors-120110200137_1.html",0
11/1/2020,"Business Standard","Ril To Go For More Acquisitions To Boost Jiomart, Take On Amazon, Flipkart","Speculation had also mounted of possible acquisitions of Urban Ladder and Milkbasket in online furniture and grocery delivery spaces respectively, tho...","/article/companies/ril-to-go-for-more-acquisitions-to-boost-jiomart-take-on-amazon-flipkart-120110100349_1.html",0
11/1/2020,"Business Standard","Retail, Telecom Rebound To Boost Near-Term Sentiment For Ril Stock: Experts","The two segments account for half the consolidated operating profit, with retail being the key outperformer in Q2","/article/companies/retail-telecom-rebound-to-boost-near-term-sentiment-for-ril-stock-experts-120110100633_1.html",0
10/31/2020,"Business Standard","Ril Profit Slips 15% To Rs 9,567 Crore As Covid-19 Hits Oil Business","Revenue in line with estimates; profits beat expectations partly due to lower taxes; Ebitda for refining biz declines 21.4% QoQ","/article/companies/ril-profit-slips-15-to-rs-9-567-crore-as-covid-19-hits-oil-business-120103100012_1.html",0
10/30/2020,"Business Standard","Market Wrap: Sensex Ends Choppy Session 136 Pts Lower; Nifty Ends At 11,642","Catch all the live market updates here.","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-ril-voda-idea-120103000180_1.html",0
10/30/2020,"Business Standard","Stocks To Watch: Tata Group Stocks, Ril, Voda Idea, Hpcl, Canara Bank, Mcx","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-tata-group-stocks-ril-voda-idea-hpcl-canara-bank-mcx-120103000203_1.html",0
10/27/2020,"Business Standard","Future Group-Amazon Legal Tussle: What Are The Challenges Ahead","Experts share their insights on the enforceability of SIAC's interim order in India and the legal options before the players, namely Future group, Ama...","/article/companies/future-group-amazon-legal-tussle-what-are-the-challenges-ahead-120102601389_1.html",0
10/26/2020,"Press Trust of India","Bp Eyes India'S Fuel Market, Wants Natural Gas Under Gst Regime","BP Group chief executive Bernard Looney said his firm in partnership with Reliance will set up 5,500 retail sites for petrol and diesel; also offer mo...","/article/companies/bp-eyes-india-s-fuel-market-wants-natural-gas-under-gst-regime-120102601125_1.html",0
10/26/2020,"Business Standard","Market Wrap: Sensex Tanks 540 Pts In Broad-Based Sell-Off, India Vix Up 5%","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-covid-19-nestle-120102600114_1.html",0
10/26/2020,"Business Standard","Future Retail, Indusind Bank, L&T: How To Trade These News-Driven Stocks?","After facing resistance at the 100-day moving average (DMA), placed at Rs 925, L&T has now managed to conquer the level decisively.","/article/markets/future-retail-indusind-bank-how-to-trade-these-news-driven-stocks-120102600295_1.html",0
10/26/2020,"Business Standard","Future Group Stocks Under Pressure As Deal With Reliance Put On Hold","Reliance Industries, too, dipped 2 per cent on the BSE","/article/markets/future-group-stocks-under-pressure-as-future-reliance-deal-put-on-hold-120102600259_1.html",0
10/26/2020,"Business Standard","Stocks To Watch: Nestle, Jsw Steel, Tech Mahindra, Polycab, Sbi Life, L&T","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-nestle-jsw-steel-tech-mahindra-polycab-sbi-life-l-t-120102600127_1.html",0
10/26/2020,"Press Trust of India","Reliance Industries Restores Salary, Offers Bonus In Hydrocarbon Arm","The firm is also offering an advance 30 per cent of the variable pay from the next year's salary to its employees, as a goodwill gesture for working d...","/article/companies/reliance-industries-restores-salary-offers-bonus-in-hydrocarbon-arm-120102600010_1.html",0
10/22/2020,"Press Trust of India","Foreign Investor Holding In Reliance Industries Rises To Record 27.2% In Q2","Reliance Industries (RIL) on Thursday filed a statement showing the shareholding pattern for the quarter ended September 30","/article/companies/foreign-investor-holding-in-reliance-industries-rises-to-record-27-2-in-q2-120102201367_1.html",0
10/21/2020,"Business Standard","Stocks To Watch: Reliance Ind, Prabhat Dairy, Bajaj Finance, Motherson Sumi","Here is a list of stocks that may trade actively today","/article/markets/stocks-to-watch-reliance-ind-prabhat-dairy-bajaj-finance-motherson-sumi-120102100179_1.html",0
10/21/2020,"Business Standard","Time To Invest In Cyclicals As Economic Recovery Gathers Steam: Analysts","Despite the large economic impact of the Covid-19 pandemic, the markets have recovered sharply even though the performance among individual stocks has...","/article/markets/time-to-invest-in-cyclicals-as-economic-recovery-gathers-steam-analysts-120102000260_1.html",0
10/17/2020,"Business Standard","Chris Wood Hikes Allocation To Indian Equities; Raises Stake In Hdfc","Among Indian stocks, besides HDFC, Wood also holds Reliance Industries (RIL), Maruti Suzuki, SBI Life Insurance, DLF and Cipla","/article/markets/chris-wood-hikes-allocation-to-indian-equities-raises-stake-in-hdfc-120101600336_1.html",0
10/16/2020,"Business Standard","Reliance Deals Accounted For 40% Of All Pe-Vc Investments In Jan-Sep 2020","Overall, private equity and venture capital firms' investments in Indian companies during the first nine months of 2020 declined 21% by value on a yea...","/article/companies/reliance-deals-accounted-for-40-of-all-pe-vc-investments-in-jan-sep-2020-120101500556_1.html",0
10/15/2020,"Business Standard","Ril'S Retail Arm Receives Rs 5,550 Crore From Private Equity Firm Kkr","Reliance Retail has raised Rs 37,710 cr from multiple investors so far","/article/companies/ril-s-retail-arm-receives-rs-5-550-crore-from-private-equity-firm-kkr-120101501737_1.html",0
